name,doc,num
b_virtualserver_servergroup_list,List server groups,150
b_virtualserver_servergroup_permission_list,List server group permissions,151
b_virtualserver_servergroup_client_list,List clients from a server group,152
b_virtualserver_channelgroup_list,List channel groups ,153
b_virtualserver_channelgroup_permission_list,List channel group permissions,154
b_virtualserver_channelgroup_client_list,List clients from a channel group,155
b_virtualserver_client_permission_list,List client permissions,156
b_virtualserver_channel_permission_list,List channel permissions,157
b_virtualserver_channelclient_permission_list,List channel client permissions,158
b_virtualserver_servergroup_create,Create server groups,159
b_virtualserver_channelgroup_create,Create channel groups,160
i_group_modify_power,Group modify power,161
i_group_needed_modify_power,Needed group modify power,162
i_group_member_add_power,Group member add power,163
i_group_needed_member_add_power,Needed group member add power,164
i_group_member_remove_power,Group member delete power,165
i_group_needed_member_remove_power,Needed group member delete power,166
i_permission_modify_power,Permission modify power,167
b_permission_modify_power_ignore,Ignore needed permission modify power,168
b_virtualserver_servergroup_delete,Delete server groups,169
b_virtualserver_channelgroup_delete,Delete channel groups,170
i_client_permission_modify_power,Client permission modify power,171
i_client_needed_permission_modify_power,Needed client permission modify power,172
i_client_max_clones_uid,Max additional connections per client identity,173
i_client_max_idletime,Max idle time in seconds,174
i_client_max_avatar_filesize,Max avatar filesize in bytes,175
i_client_max_channel_subscriptions,Max channel subscriptions,176
b_client_is_priority_speaker,Client is priority speaker,177
b_client_skip_channelgroup_permissions,Ignore channel group permissions,178
b_client_force_push_to_talk,Force Push-To-Talk capture mode,179
b_client_ignore_bans,Ignore bans,180
b_client_ignore_antiflood,Ignore antiflood measurements,181
b_client_issue_client_query_command,Issue query commands from client,182
b_client_use_reserved_slot,Use an reserved slot,183
b_client_use_channel_commander,Use channel commander,184
b_client_request_talker,Allow to request talk power,185
b_client_avatar_delete_other,Allow deletion of avatars from other clients,186
b_client_is_sticky,Client will be sticked to current channel,187
b_client_ignore_sticky,Client ignores sticky flag,188
b_client_info_view,Retrieve client information,189
b_client_permissionoverview_view,Retrieve client permissions overview,190
b_client_permissionoverview_own,Retrieve clients own permissions overview,191
b_client_remoteaddress_view,View client IP address and port,192
i_client_serverquery_view_power,ServerQuery view power,193
